thread_name,process_name,upid,utid,cpu,ts,dur,end_state
surfaceflinger,/system/bin/surfaceflinger,313,10,2,261340338285070,2872600,S
swapper,,0,0,0,261340338303015,3924072,R
bigo_worker_thr,bigo_worker_thread,756,766,1,261340338404292,235352,D
DecodeLoop,/vendor/bin/hw/google.hardware.media.c2@2.0-service,468,1056,1,261340338639644,22339,D
swapper,,0,0,1,261340338661983,3062581,R
swapper,,0,0,3,261340338957922,782267,R
BckgrndExec HP,/system/bin/surfaceflinger,313,1,3,261340339740189,70598,S
swapper,,0,0,3,261340339810787,989583,R
surfaceflinger,/system/bin/surfaceflinger,313,7,3,261340340800370,118001,S
swapper,,0,0,3,261340340918371,1554810,R
binder:479_5,/vendor/bin/hw/android.hardware.composer.hwc3-service.pixel,315,4,2,261340341157670,2269572,S
bigo_worker_thr,bigo_worker_thread,756,766,1,261340341724564,350505,D
DecodeLoop,/vendor/bin/hw/google.hardware.media.c2@2.0-service,468,1056,1,261340342075069,374023,S
ExoPlayer:Playb,com.google.android.youtube,701,5124,0,261340342227087,246216,S
swapper,,0,0,1,261340342449092,448242,R
MediaCodec_loop,com.google.android.youtube,701,5238,3,261340342473181,1054118,S
swapper,,0,0,0,261340342473303,764608,R
decon0_kthread,decon0_kthread,191,6,1,261340342897334,452189,D
VrrCtrl_Primary,/vendor/bin/hw/android.hardware.composer.hwc3-service.pixel,315,8,0,261340343237911,129191,S
swapper,,0,0,1,261340343349523,372234,R
swapper,,0,0,0,261340343367102,84879,R
surfaceflinger,/system/bin/surfaceflinger,313,10,2,261340343427242,614257,S
ExoPlayer:Playb,com.google.android.youtube,701,5124,0,261340343451981,151571,S
swapper,,0,0,3,261340343527299,81258,R
swapper,,0,0,0,261340343603552,202637,R
MediaCodec_loop,com.google.android.youtube,701,5238,3,261340343608557,224243,S
android.youtube,com.google.android.youtube,701,712,1,261340343721757,790771,R
ExoPlayer:Playb,com.google.android.youtube,701,5124,0,261340343806189,145833,S
binder:477_4,/system/bin/surfaceflinger,313,831,6,261340343825842,350830,R+
swapper,,0,0,3,261340343832800,113118,R
MediaCodec_loop,com.google.android.youtube,701,5238,3,261340343945918,75033,S
swapper,,0,0,0,261340343952022,54403,R
ExoPlayer:Playb,com.google.android.youtube,701,5124,0,261340344006425,172973,S
swapper,,0,0,3,261340344020951,1011149,R
logd.writer,/system/bin/logd,295,3,2,261340344041499,101482,S
swapper,,0,0,2,261340344142981,497639,R
android.hardwar,/vendor/bin/hw/android.hardware.power-service.pixel-libperfmgr,355,12,6,261340344176672,245076,S
swapper,,0,0,0,261340344179398,1865112,R
BckgrndExec HP,/system/bin/surfaceflinger,313,1,5,261340344340612,397054,S
binder:477_4,/system/bin/surfaceflinger,313,831,6,261340344421748,89763,S
swapper,,0,0,6,261340344511511,91837,R
migration/1,migration/1,21,37,1,261340344512528,79264,S
swapper,,0,0,1,261340344591792,308513,R
android.youtube,com.google.android.youtube,701,712,6,261340344603348,142823,S
binder:23019_8,com.google.android.youtube,701,5165,2,261340344640620,346721,S
swapper,,0,0,5,261340344737666,1179769,R
swapper,,0,0,6,261340344746171,203938,R
binder:23019_4,com.google.android.youtube,701,5138,1,261340344900305,129109,S
traced_perf,/system/bin/traced_perf,765,775,6,261340344950109,1042847,S
swapper,,0,0,2,261340344987341,1228760,R
swapper,,0,0,1,261340345029414,3979248,R
CodecLooper,com.google.android.youtube,701,5225,3,261340345032100,111247,S
DecodeLoop,/vendor/bin/hw/google.hardware.media.c2@2.0-service,468,1056,3,261340345143347,142293,S
binder:23019_8,com.google.android.youtube,701,5165,3,261340345285640,208496,R+
DecodeLoop,/vendor/bin/hw/google.hardware.media.c2@2.0-service,468,1056,3,261340345494136,255412,S
binder:23019_8,com.google.android.youtube,701,5165,3,261340345749548,68278,S
swapper,,0,0,3,261340345817826,3560628,R
stack-unwinding,/system/bin/traced_perf,765,6596,5,261340345917435,122193,S
swapper,,0,0,6,261340345992956,30183268,R
swapper,,0,0,5,261340346039628,47690226,R
sugov:4,sugov:4,302,317,0,261340346044510,292766,S
mali-mem-purge,/system/bin/surfaceflinger,313,818,2,261340346216101,120483,S
swapper,,0,0,2,261340346336584,2888021,R
swapper,,0,0,0,261340346337276,5953817,R
RegSampIdle,/system/bin/surfaceflinger,313,825,1,261340349008662,240560,S
surfaceflinger,/system/bin/surfaceflinger,313,10,2,261340349224605,186605,S
swapper,,0,0,1,261340349249222,74707,R
RegSampIdle,/system/bin/surfaceflinger,313,825,1,261340349323929,30152,S
swapper,,0,0,1,261340349354081,2290364,R
RegionSampling,/system/bin/surfaceflinger,313,824,3,261340349378454,39022,S
swapper,,0,0,2,261340349411210,5509765,R
swapper,,0,0,3,261340349417476,3020548,R
